"movie" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"17" "Geostorm" "2017-10-20" "2017-10-20" "http://www.nytimes.com/2017/10/20/movies/geostorm-review-gerard-butler.html" "PG-13" 0
"18" "God's Own Country" "2017-10-25" "2017-10-24" "http://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html" "" 1
"19" "Happy Death Day" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/happy-death-day-review.html" "PG-13" 0
"20" "Hello Again" "2017-11-08" "2017-11-07" "http://www.nytimes.com/2017/11/07/movies/hello-again-review.html" "" 0
"21" "I Remember You" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/i-remember-you-review.html" "" 1
"22" "Intent to Destroy" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/intent-to-destroy-armenian-genocide-review.html" "" 0
"23" "It Happened in L.A." "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/it-happened-in-la-review.html" "" 0
"24" "Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton" "2017-11-17" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/review-jim-and-andy-jim-carrey.html" "" 1
"25" "Joan Didion: The Center Will Not Hold" "2017-10-27" "2017-10-24" "http://www.nytimes.com/2017/10/24/movies/joan-didion-the-center-will-not-hold-review-griffin-dunne.html" "" 1
"26" "Jungle" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/jungle-review-daniel-radcliffe.html" "R" 0
"27" "Justice League" "2017-11-17" "2017-11-15" "http://www.nytimes.com/2017/11/15/movies/justice-league-review-wonder-woman-batman-dc-comics.html" "PG-13" 0
"28" "L'enfant secret" "2017-10-18" "2017-10-17" "http://www.nytimes.com/2017/10/17/movies/lenfant-secret-review-philippe-garrel.html" "" 0
"29" "Lady Bird" "2017-11-03" "2017-10-31" "http://www.nytimes.com/2017/10/31/movies/lady-bird-review-greta-gerwig-saoirse-ronan.html" "R" 1
"30" "Last Flag Flying" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/last-flag-flying-review-steve-carell-bryan-cranston-laurence-fishburne-richard-linklater.html" "R" 0
"31" "LBJ" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/lbj-review-woody-harrelson-rob-reiner.html" "R" 0
"32" "Marshall" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/marshall-review-chadwick-boseman.html" "PG-13" 0
"33" "Maya Dardel" "2017-10-27" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/maya-dardel-review-lena-olin.html" "" 0
"34" "Mayhem" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/mayhem-review-steven-yeun.html" "Not Rated" 0
"35" "Most Beautiful Island" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/most-beautiful-island-review.html" "" 1
"36" "Mudbound" "2017-11-17" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/mudbound-review-dee-rees.html" "R" 1
"37" "Mully" "2017-10-27" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/mully-review.html" "" 0
"38" "Murder on the Orient Express" "2017-11-10" "2017-11-08" "http://www.nytimes.com/2017/11/08/movies/murder-on-the-orient-express-review-kenneth-branagh.html" "PG-13" 0
"39" "My Friend Dahmer" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/review-my-friend-dahmer-the-boy-who-became-a-cannibal.html" "R" 0
"40" "Never Here" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/never-here-review.html" "R" 0
"41" "No Dress Code Required" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/no-dress-code-required-review.html" "" 0
"42" "One of Us" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/one-of-us-review.html" "" 0
"43" "Only the Brave" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/only-the-brave-review-josh-brolin.html" "PG-13" 1
"44" "Professor Marston and the Wonder Women" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/professor-marston-and-the-wonder-woman-review.html" "R" 1
"45" "Song of Granite" "2017-11-15" "2017-11-14" "http://www.nytimes.com/2017/11/14/movies/song-of-granite-review.html" "" 0
"46" "Suburbicon" "2017-10-27" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/suburbicon-review-george-clooney-matt-damon-julianne-moore.html" "R" 0
"47" "Te Ata" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/te-ata-review.html" "PG" 0
"48" "Thank You for Your Service" "2017-10-27" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/thank-you-for-your-service-review-miles-teller.html" "R" 0
"49" "The Breadwinner" "2017-11-17" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/the-breadwinner-review.html" "PG-13" 1
"50" "The Departure" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/the-departure-review.html" "" 0
"51" "The Divine Order" "2017-10-27" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/the-divine-order-review.html" "" 0
"52" "The Foreigner" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/the-foreigner-review-jackie-chan-pierce-brosnan.html" "R" 0
"53" "The Light of the Moon" "2017-11-01" "2017-10-31" "http://www.nytimes.com/2017/10/31/movies/review-the-light-of-the-moon-and-the-trauma-of-rape.html" "" 0
"54" "The Meyerowitz Stories (New and Selected)" "2017-10-13" "2017-10-11" "http://www.nytimes.com/2017/10/11/movies/the-meyerowitz-stories-review-noah-baumbach.html" "" 1
"55" "The Snowman" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/the-snowman-review-michael-fassbender-jo-nesbo.html" "R" 0
"56" "Thor: Ragnarok" "2017-11-03" "2017-11-01" "http://www.nytimes.com/2017/11/01/movies/thor-ragnarok-review-chris-hemsworth.html" "PG-13" 0
"57" "Three Billboards Outside Ebbing, Missouri" "2017-11-10" "2017-11-08" "http://www.nytimes.com/2017/11/08/movies/review-three-billboards-outside-ebbing-missouri-martin-mcdonagh.html" "R" 0
"58" "Thy Father's Chair" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/thy-fathers-chair-review.html" "" 1
"59" "Tragedy Girls" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/tragedy-girls-review.html" "R" 0
"60" "Tyler Perry's Boo 2! A Madea Halloween" "2017-10-20" "2017-10-20" "http://www.nytimes.com/2017/10/20/movies/tyler-perrys-boo-2-a-madea-halloween-review.html" "PG-13" 0
"61" "Wait for Your Laugh" "2017-11-01" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/wait-for-your-laugh-review-gilbert-gottfried-rose-marie.html" "" 0
"62" "Wet Woman in the Wind" "2017-11-17" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/wet-woman-in-the-wind-review.html" "" 0
"63" "Window Horses: The Poetic Persian Epiphany of Rosie Ming" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/window-horses-review.html" "" 1
"64" "Wonder" "2017-11-17" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/wonder-review-jacob-tremblay-julia-roberts-owen-wilson.html" "PG" 1
"65" "Wonderstruck" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/wonderstruck-review-todd-haynes.html" "PG" 1
